Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Toss winning,Toss Decision,First Innings Score,Fall of wickets First Innings,Second Innings Score,Fall of wickets Second Innings
Hong Kong,Netherlands,Netherlands,7 wickets,Bulawayo,12-Jul-22,T20I # 1641,Hong Kong,Batting,116,10,117,3
P.N.G.,Uganda,P.N.G.,8 wickets,Bulawayo,12-Jul-22,T20I # 1642,P.N.G,Fielding,160,4,161,2
Singapore,U.S.A.,U.S.A.,132 runs,Bulawayo,12-Jul-22,T20I # 1637,Singapore,Fielding,201,6,69,10
Hong Kong,Uganda,Uganda,2 wickets,Bulawayo,11-Jul-22,T20I # 1635,Hong Kong,Batting,87,9,88,8
Netherlands,P.N.G.,Netherlands,52 runs,Bulawayo,11-Jul-22,T20I # 1636,Netherlands,Batting,163,7,111,10
Jersey,U.S.A.,U.S.A.,8 wickets,Bulawayo,11-Jul-22,T20I # 1633,U.S.A,Fielding,154,5,159,2
England,India,England,17 runs,Nottingham,10-Jul-22,T20I # 1631,England,Batting,215,7,198,9
England,India,India,49 runs,Birmingham,09-Jul-22,T20I # 1628,England,Fielding,170,8,121,10
West Indies,Bangladesh,West Indies,5 wickets,Providence,07-Jul-22,T20I # 1617,Bangladesh,Batting,163,5,169,5
England,India,India,50 runs,Southampton,07-Jul-22,T20I # 1616,India,Batting,198,8,148,10
West Indies,Bangladesh,West Indies,35 runs,Roseau,03-Jul-22,T20I # 1607,West indies,Batting,193,5,158,6
Singapore,P.N.G.,P.N.G.,3 wickets,Singapore,03-Jul-22,T20I # 1605,Singapore,Batting,203,7,206,7
West Indies,Bangladesh,no result,-,Roseau,02-Jul-22,T20I # 1601,West indies,Fielding,105,8,,
Singapore,P.N.G.,Singapore,18 runs,Singapore,02-Jul-22,T20I # 1599,Singapore,Batting,168,5,150,9
Ireland,India,India,4 runs,Dublin (Malahide),28-Jun-22,T20I # 1586,India,Batting,225,7,221,5
Ireland,India,India,7 wickets,Dublin (Malahide),26-Jun-22,T20I # 1580,India,Fielding,108,4,111,3
India,South Africa,no result,-,Bengaluru,19-Jun-22,T20I # 1575,South Africa,Fielding,28,2,,
India,South Africa,India,82 runs,Rajkot,17-Jun-22,T20I # 1572,South Africa,Fielding,169,6,87,10
India,South Africa,India,48 runs,Visakhapatnam,14-Jun-22,T20I # 1571,South Africa,Fielding,179,5,131,10
Zimbabwe,Afghanistan,Afghanistan,35 runs,Harare,14-Jun-22,T20I # 1570,Afghanisthan,Batting,125,8,90,9
India,South Africa,South Africa,4 wickets,Cuttack,12-Jun-22,T20I # 1569,South Africa,Fielding,148,6,149,6
Zimbabwe,Afghanistan,Afghanistan,21 runs,Harare,12-Jun-22,T20I # 1568,Afghanisthan,,170,5,149,7
Sri Lanka,Australia,Sri Lanka,4 wickets,Pallekele,11-Jun-22,T20I # 1564,Australia,Batting,176,5,177,6
Zimbabwe,Afghanistan,Afghanistan,6 wickets,Harare,11-Jun-22,T20I # 1561,Zimbavae,Batting,159,8,160,4
India,South Africa,South Africa,7 wickets,Delhi,09-Jun-22,T20I # 1554,South Africa,Fielding,211,4,212,3
Sri Lanka,Australia,Australia,3 wickets,Colombo (RPS),08-Jun-22,T20I # 1552,Australia,Fielding,124,9,126,7
Sri Lanka,Australia,Australia,10 wickets,Colombo (RPS),07-Jun-22,T20I # 1551,Australia,Fielding,128,10,134,0
Zimbabwe,Namibia,Namibia,32 runs,Bulawayo,24-May-22,T20I # 1547,Zimbavae,Fielding,127,8,95,10
Zimbabwe,Namibia,Namibia,6 wickets,Bulawayo,22-May-22,T20I # 1546,Namibia,Fielding,157,8,161,4
Zimbabwe,Namibia,Zimbabwe,8 wickets,Bulawayo,21-May-22,T20I # 1544,Namibia,Batting,128,8,129,2
Zimbabwe,Namibia,Namibia,8 wickets,Bulawayo,19-May-22,T20I # 1541,Zimbavae,Batting,122,8,124,2
Zimbabwe,Namibia,Zimbabwe,7 runs,Bulawayo,17-May-22,T20I # 1540,Zimbavae,Batting,153,4,146,5
Namibia,Uganda,Namibia,52 runs,Windhoek,10-Apr-22,T20I # 1507,Uganda,Fielding,185,7,133,10
Namibia,Uganda,Uganda,7 wickets,Windhoek,09-Apr-22,T20I # 1506,Uganda,Fielding,177,4,178,3
Namibia,Uganda,Namibia,8 wickets,Windhoek,08-Apr-22,T20I # 1505,Namibia,Fielding,127,5,128,2
Pakistan,Australia,Australia,3 wickets,Lahore,05-Apr-22,T20I # 1504,Australia,Fielding,162,8,163,7
Nepal,P.N.G.,Nepal,50 runs,Kirtipur,04-Apr-22,T20I # 1503,P.N.G,Fielding,168,6,118,10
Malaysia,P.N.G.,P.N.G.,8 wickets,Kirtipur,01-Apr-22,T20I # 1501,P.N.G,Fielding,196,6,199,2
Nepal,P.N.G.,Nepal,37 runs,Kirtipur,31-Mar-22,T20I # 1500,P.N.G,Fielding,203,7,166,10
Malaysia,P.N.G.,Malaysia,8 runs,Kirtipur,29-Mar-22,T20I # 1498,Malaysia,Batting,180,3,172,10
Nepal,P.N.G.,Nepal,15 runs,Kirtipur,28-Mar-22,T20I # 1497,P.N.G,Fielding,183,9,168,10
Bangladesh,Afghanistan,Afghanistan,8 wickets,Mirpur,05-Mar-22,T20I # 1496,Bangladesh,Batting,115,9,121,2
Bangladesh,Afghanistan,Bangladesh,61 runs,Mirpur,03-Mar-22,T20I # 1495,Bangladesh,Batting,155,8,94,10
India,Sri Lanka,India,6 wickets,Dharamsala,27-Feb-22,T20I # 1494,Sri Lanka,Batting,146,5,148,4
India,Sri Lanka,India,7 wickets,Dharamsala,26-Feb-22,T20I # 1493,India,Fielding,183,5,186,3
India,Sri Lanka,India,62 runs,Lucknow,24-Feb-22,T20I # 1492,Sri Lanka,Fielding,199,2,137,6
Oman,Nepal,Nepal,9 wickets,Al Amerat,24-Feb-22,T20I # 1491,Oman,Batting,87,9,90,1
Bahrain,Canada,Canada,7 wickets,Al Amerat,24-Feb-22,T20I # 1488,Baharin,Batting,131,8,132,3
Oman,Ireland,Ireland,56 runs,Al Amerat,22-Feb-22,T20I # 1487,Oman,Fielding,165,7,109,10
Canada,Nepal,Nepal,8 wickets,Al Amerat,21-Feb-22,T20I # 1482,Canada,Batting,80,10,81,2
